id_str,text,created_at,place
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:22,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:21,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:21,None
1.24327E+18,RT   7  Here is another piece from isolation   to   for a kind invitation to put this together     Coronavirus Pandemi,2020-03-26 20:21,None
1.24327E+18,We encourage students to familiarize themselves with the full Howard University Student Association proposal regard,2020-03-26 20:20,None
1.24327E+18,Click the link in our bio to see currently open Education jobs like  UCentral Multimedia Journalist  12085   at Uni,2020-03-26 20:20,"Place(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, id='62ff27569714ddb3', url='https://api.twitter.com/1.1/geo/id/62ff27569714ddb3.json', place_type='city', name='Edmond', full_name='Edmond, OK', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, type='Polygon', coordinates=[[[-97.557572, 35.606823], [-97.35391, 35.606823], [-97.35391, 35.7836212], [-97.557572, 35.7836212]]]), attributes={})"
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:19,None
1.24327E+18,RT    Zoom University can suck it  All of these schools are trippen if they think students are just gonna get on some online cla,2020-03-26 20:18,None
1.24327E+18,RT    First patients enrolled in University of Oxford clinical trial for possible Covid 19 treatments  The first UK patients have b,2020-03-26 20:18,None
1.24327E+18,As a public service to the journalism education community during the coronavirus pandemic    dropped tuition,2020-03-26 20:18,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:17,None
1.24327E+18,giving oral recommendation to fire music professor David Daniels  h,2020-03-26 20:17,None
1.24327E+18,Join the DePaul U team and help provide an extraordinary education  Director  University Counseling Services,2020-03-26 20:17,None
1.24327E+18,RT     The Vice Chancellor can t ignore his own survey data  though   Wanna bet   Report shows the depth of unhappiness of Cardif,2020-03-26 20:16,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:15,None
1.24327E+18,RT   thefirst   CamonCEO  ClearDaynNight  The first 3 pictures are Sola Akinriade Central library  Osun state university  the next 2 a,2020-03-26 20:15,None
1.24327E+18,Soongsil University is an old institution founded in 1897  IT has provided great education since its founding,2020-03-26 20:15,None
1.24327E+18,My Two Moms  excerpt is from an essay written by a foster youth applying for a special summer education program at,2020-03-26 20:15,None
1.24327E+18,EDUC387013 Hello  My name is Jess and I m a sophomore majoring in Elementary Teacher Education with a concentratio,2020-03-26 20:14,None
1.24327E+18,If university and college officials were worried that some of their students might not come back once they were mov,2020-03-26 20:14,None
1.24327E+18,RT    I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge thanks go o,2020-03-26 20:14,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:13,None
1.24327E+18,RT    HU Facts  Howard University operates a world class medical simulation center  6 000 square foot state of the art simulated lea,2020-03-26 20:13,None
1.24327E+18,RT     The Vice Chancellor can t ignore his own survey data  though   Wanna bet   Report shows the depth of unhappiness of Cardif,2020-03-26 20:13,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:12,None
1.24327E+18,RT    On that note  I am now the Lake Macquarie Sub Branch of Macquarie University  School of Education hahaha,2020-03-26 20:12,None
1.24327E+18,RT    UPDATE   If you re scheduled for a certification exam  check here for details of how COVID 19 may affect your exam app,2020-03-26 20:11,None
1.24327E+18,RT    Zoom University can suck it  All of these schools are trippen if they think students are just gonna get on some online cla,2020-03-26 20:11,None
1.24327E+18,RT    If you are a business that can supply products and services to support Canada s response to COVID 19  join our webinar,2020-03-26 20:11,None
1.24327E+18,I m a university student and have lost my part time job because of coronavirus  I now have,2020-03-26 20:11,None
1.24327E+18,Coronavirus and campus  Mississippi universities closing dorms   The Clarion Ledger,2020-03-26 20:10,None
1.24327E+18,According to the latest figures released by UNESCO  some 1 3 billion learners around the world were not able to att,2020-03-26 20:10,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:09,None
1.24327E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:09,None
1.24327E+18,RT   uasc  USask has a long history of distance education  as the idea of bringing the University to the people was one of its founding,2020-03-26 20:09,None
1.24327E+18,RT    I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge thanks go o,2020-03-26 20:09,None
1.24327E+18,RT   baseball  With the uncertainty of this years season  I want to have a Senior profile day  Today s Senior is Andrew Kitner  Andrew,2020-03-26 20:08,None
1.24327E+18,For those who were wondering about   marie2215 and her graduation  here is an update,2020-03-26 20:08,None
1.24327E+18,Griffith     You start primary school at 6  it lasts 4 years  In the winter of the fo,2020-03-26 20:08,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:08,None
